Name ,Cusine,Date,Quote,Review Detail,Rating
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed August 2, 2019 ",Good night out with colleagues ,Invited by colleagues to the restaurant to welcome me to Kathmandu. The restaurant and bar is situated on a very popular strip in this enormous city. The menu caters for a wide variety of palates. I tried the pork MO:MO. It was quite unique and...tasty. The staff is super friendly and the bar can do a very good cocktail. It has a lively atmosphere and is very clean. Can recommend.More,4
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed February 3, 2019 ",Popular lounge bar,Octave is located in the city centre on Durbar Marg next to Hotel Woodlands. Its an open outdoor lounge style restaurant & bar offering a variety of foods at affordable prices and a long list of drinks and beverages. Live music is offered on a...regular basis and there's a pool table available. It's very popular and frequented by young Nepali's and its a good spot to meet and mingle with local people.More,5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed November 24, 2018 ",Comfy vibes,Decent food with a great ambience to chill and spend some quality time with family or friends. Not very expensive for its location. Great coffee-based drinks available.,4
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed July 31, 2018 ",good rooftop resturant,We were a member of 5 . They had a great hospitality and service .Phtographer  was always ready for photo whenever  customer calls. Food was good. Can view durbarmarg from terrace .looks nice in the evening .Not Expensive too. Better place for Family Gathering .,5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed June 30, 2018 ",BEST rooftop restaurant & lounge in Kathmandu!,Amazing ambience in the evening! Beautiful view overlooking one of the most posh streets Durbamarg in Kathmandu. Japanese sushi & octave cocktail is a must try! Loved the service!,5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed June 17, 2017 ",Great place,Been here a few times. Service and food is always good. The japanese food is good and they have quite alot of drinks you can chose while hanging out with friends.Easy to find and they have added more seating which is good and you get...a full view of kingsway even better. Will def come back againMore,5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed March 30, 2017 ",Rooftop Lounge at Durbar Marg,"A terrace lounge with garden & attic area and indoor multipurpose hall. Mello music, hanging lights and great ambience.",5
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed October 5, 2016 ","Bad service, less informed staff","It was my second time visiting this place, the first time I went there I was there for Drinks and Snacks so I found it a OK place. The second time was a total. I went there for dinner with my friend, my friend wanted...to eat a steak, they had 3 choices (Pepper, Rum & London House), as never heard about London House, when we asked the waiter he said, ""Pepper steak has pepper, Rum Steak has Rum, and London House has Beef""  to my amusement I asked ""isn't the steak Beef""  he replied Yes, then a awkward silence. On top of that the  waiter is hard to call, you are just supposed to wave your hands and to be attended to in that kind of place, you have to shout to get their attention, and people around you look at you with a weird face. That's the last I'm going to that place. Not good food and service, and if it's not that you can provide then it's not a good restaurant.More",3
"OCTAVE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed September 15, 2016 ",Refreshing,"At the heart of city in Durbar Marg, within woodland complex- tried for the first time and looks very common among youths of Kathmandu. Superbly made stuffed mushrooms was my best choice, really delicious. Services bit slow but the seating atmosphere compensated it. At the...roof top, partially open terrace style, colourful with great view of street.More",4
"SANO DUR-BAR, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Italian, Japanese, American, Asian, Nepali","Reviewed January 8, 2018 ",Good Restaurant,Sano Durbar is a nice restaurant offering meals. We visited the restaurant for the dinner. They offer Indian and local dishes. We enjoyed vegetarian Indian dinner.,4
"SANO DUR-BAR, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Italian, Japanese, American, Asian, Nepali","Reviewed April 10, 2017 ",Amazingly restored durbar turned into a resturant,The owners have very lovingly restored this Sano Durbar (little palace) and turned it into a restaurant. The atmosphere is unique and the food is good.,4
"SANO DUR-BAR, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Italian, Japanese, American, Asian, Nepali","Reviewed September 11, 2016 ",Delicious menu at best rates,I enjoyed the delicious momos. Service was great and had a nice time with my friends. Recommended for all who are looking for delicious meals at budget price. Cheers!!,5
"SANO DUR-BAR, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Italian, Japanese, American, Asian, Nepali","Reviewed July 30, 2016 ",Heritage food,The ambience delves you into a world of cultural heritage thats been destroyed by the earthquake in Nepal. But the menu takes you to japan and back with real taste of Japan. One would not believe to expect the world menu served on your table...in a place secluded from the main street at the 70's popular 'freak street'. A perfect joint for friends and family. Great coffee and delicious food. Uncomprisable service with pocket friendly budget.More,4
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed February 6, 2023 ",A very nice place,"A very cosy place  with a variery of good food (eg.momo jhol so yummy!) and drinks ( delicious Coffee and shakes). All at very reasonable prices. Plus good soothing music in the background make it an ideal spot . The owner/cook is a very nice...and kind person too. Do not miss!
Tom/PolandMore",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed January 29, 2023 ",Kind place,Stopped here after lunch and had just a coffee and some sweets. Good prices and very friendly place. On a busy little street but on a higher level so actually quite nice. A good place.,5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed April 15, 2022 ",Amazing nepali breskfast,"We came to Hity Cafe to taste their nepali breakfast. Delicious!!!! We totally recomend you.
Si veniu a Katmandú no dubteu fer una parada al local de Hari. Esmorzar deliciós, tracte molt amable i agradable...",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed April 15, 2022 ",Lovely place,"Wonderful restaurant! We came to try the nepali breakfast and It was even better than we expected. Hari, the owner is a very kind man. We'll come back to try also other different type of food!!",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed January 6, 2022 ","I am very glad that I got here, if you are in Kathmandu be sure to check out at least a delicious tea, you will not regr","I highly recommend this family restaurant. very nice owners, fresh food prepared from fresh ingredients, modestly but clean and you can see the heart put into each dish",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed January 6, 2022 ",Highly recommended.,Amazing experience. Very tasty food cooked fresh.  The owner hosted us himself. We had various momos and some Indian dishes all were delicious.,5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed December 5, 2021 ",Good one,"Friendly staff and great food. Its location and atmosphere are good as well ,Good food at affordable prices. Highly recommended! Also have free wifi",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed April 1, 2021 ",My favorite cafe! Cozy and,"My favorite cafe! Cozy and peaceful, nice location in the city center! Prices are low, taste is excellent! Friendly owners always are doing their best to provide a great service",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed December 31, 2020 ","Great food ,great vibes...","The place is really amazing, food is just great..love to visit there time and again..my best place to hang out with friends and family..cheersss!!!",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed December 31, 2020 ",New Year's Eve,Wonderful time @Hity cafe. Food was really tasty. Friendly environment. New year's eve was spent nicely.,5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed December 9, 2020 ",Excellent,"Excellent little café. Good food. Very friendly.
Very close to the main tourist area, Thamel.
I've been many times and I'll certainly go again.",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed March 20, 2020 ",Chicken Catti Roll Yummy ,"Had lunch on my last day, would of been back again but was a late find. Had a lovely big chicken catti roll which filled me up. Just outside of busy Thamel so prices are good. Indoor or outdoor tables. Clean and service was good....Recommend.More",4
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed February 3, 2020 ",Unbelievable Food! Top service.,"Unbelievable Food! Top service. Stumbled upon this place and came back every night, especially for the last supper before trekking xx",5
"HITY CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Cafe, Asian, Nepali","Reviewed January 12, 2020 ",A friendly haven and excellent food,From the moment you arrive Hari’s welcome alone makes Hity Cafe a place you want to return to.  The menu is an excellent choice of Nepali and western dishes plus the best lassis in town and very good organic tea and coffee.  And a great...place to linger over breakfast to plan your day!More,5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed September 11, 2022 ",Reasonable.,"Road side restaurant facing Pewa lake offering a variety of food and drinks, service is a bit slow, reasonable prices, simple ambience.",3
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed April 3, 2020 ",Great food and service. ,"The food is excellent, service great, cold beers and very reasonably priced. Ate here several times.",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed December 25, 2019 ",Courtesy would have been better,Services and attitude of some of the staff members here deserves zero star! But quality of food saved them from a BIG Zero!,1
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed November 24, 2019 ",Horrible food. Exorbitant price.,Horrible food. We ordered nepali thali and expected something authentic. But the food was stale and cold and devoid of taste. It was exorbitantantly priced. Damn slow service. Not at all advisable. Total waste of money.,1
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed November 17, 2019 ",It’s ok for high tax ,They charge you double tax here for service and tax at like 23% so be aware. Food is ok. Service not that good. Got the butter paneer and was good but paneer was rubbery.,3
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed October 13, 2019 ",Delicious ,"It’s one of the best Indian restaurant in Pokhara. Dishes are served deliciously. One of the best taste I have ever had. Staffs are cordial. And the best part is, it’s cheaper than usual for such taste ..
Wish you good luck with Laxman",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed August 12, 2019 ",Good food,"Being here to try their Indian dishes, find perfect,paneer curry is really good here as well naan.good service and charming staff.",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed August 8, 2019 ",Cheap and best,"Been here and had happy hour cocktails ,had tried fried fish which is really good and crispy,paneer curry is good too.Tried their steak in sizzling plate,taste really tender,touch our mouth.reasonable price.",4
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed August 3, 2019 ",Happy hour drinks,"We were attracted by a sign , telling us to buy
2 beers pay for 1 & get  chips for free
But when the bill came i had to pay  for both berrs &. The chips",2
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed July 1, 2019 ",Awesome ,"Had paneer butter masala,butter naan really tasty. Steak war really tender. Cocktails were really nice here with happy hour deal. Staff looks professional and freindly. Complete hospitality. But I saw so many bad reviews about this restaurant. I have been here thrice never being disappointed...by their service and food quality.very good restaurant in pokhara.More",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed July 1, 2019 ",Good restaurant,"They do make really good Indian dishes,especially their chicken tikka masala and chicken tandoori is fantastic here. And do not forget to try their grilled steak if you were steak lover. Their Nepali set Meal is amazing.Service staff were active here.good value of money.",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed June 21, 2019 ",Good quality of food ,"I have been here after doing boating, nearby boating area, we had tried Indian dishes chicken butter masala, Nepali thali set and grilled fish , All dishes were amazing here. Beverage were also nice here, I liked their fruit punches. Attentive staff with ice care...of customers.More",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed June 18, 2019 ",Awesome ,"After reading mostly bad  reviews of the restaurant, I tried their naan,tandoori chicken which is super and  the food came within 15 minutes.  Restaurant seems little small downstairs but they had upstairs too,from the terrace we can see the lake too. Anyway I had good...experience their, staff were nice, owner too.More",5
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed May 8, 2019 ","High prices, less and so so food. ","The reason it gets a bad review is because of high prices and yet tiny food portions -  and not particularly all that great. Ordered three appetizers (French fries, fish sticks, cheese tikka) and paid 15 bucks - again that’s for three tiny appetizers. Fish...finger came with bones!!! Ambiance is so so. It seems more of a Indian Food Joint - but not of good value.More",2
"LAXMAN RESTAURANT & BAR, Pokhara - Restaurant Reviews, Photos & Phone Number - Tripadvisor",Vegetarian Friendly,"Reviewed May 8, 2019 ",Terrible food and staff,"Terrible food and staff. Long wait time, bad food, unattentive staff and very few options in the menu.",1
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 4, 2020 ",Just lovely!,"Nice food, nice view, nice staff! 
Went here after a few days hiking up the mountains and it was a calm oasis in an otherwise busy city on our return.
Will be back one day!",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 6, 2020 ",Good Breakfast and Views!!,"On our walk back to our hotel from the Monkey Temple, we found this nice little restaurant perched on the side of the hill. The restaurant has been rebuilt since the earthquake of 2015 and enjoys an unimpeded view of of parts of Kathmandu. The...restaurant is very clean and the food is very tasty. The staff were friendly and helpful when making decisions on what to eat.More",4
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed February 27, 2020 ",Great little roof-top restaurant,Great little roof-top restaurant in a great location. It’s on a popular road to and from the Monkey Temple and it’s on a ridge overlooking Kathmandu Valley. The views are great and the food is a nice mix of Nepalese and western cuisines. Staff are...very friendly and helpful. Try the organic Nepal coffee.More,5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed February 2, 2020 ",Best resturant!,"The food is excellent, the staff fabulous and friendly and the view magnificent!  It's my favorite place to eat in Kathmandu!",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed December 10, 2019 ",Legendary,"I’ve been living in Nepal for five months and this is by far the best food I’ve eaten since I’ve been here. The staff is amazing and so friendly, the environment is lovely, and of course the food is something of legends. I’d recommend the...cheese pakoda, thanduk soup, and the banana tempura.More",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 13, 2019 ",The best food in Nepal,"We went for a quick meal to the restaurant across from our hotel and quickly discovered some of the best food, views and service in the whole of our Nepalese experience. We came here everyday for our three days before our trek and loved every...part of this restaurant with its magnificent elevated views of the city below. When we returned from our trek our first meal back had to be here at Nirvana. The owner is incredibly personal and we got to know him and his son quite well. So much so we ordered nirvana jumpers and will wear them proudly. If you’re looking for great food, amazing views and even better service, nirvana is the place to go while in Swoyambhu.More",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 8, 2019 ",Best place to have a beer,Stop here! Best place to have a beer and see the sunset after visiting the temple! Great view over the city!,5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 16, 2019 ",Friendly & good!,Stopped for lunch on the way back from Swoyambunath. Great choice! I highly recommend the lentil soup and chapatis. Extremely friendly staff!,5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 6, 2019 ",Stop Here!,"If you are on foot from Thamel to the Monkey Temple, I recommend you stop here to cool your heels with food and a beer! The proprietor is welcoming, very informative, and damnit, their momos rule!",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed September 6, 2019 ",Love this place,"The owner is such a great guy, its a reasonable price cafe with good view of Kathmandu. You will see this cafe on the way to Monkey Temple on your right. Good food there too.",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 19, 2019 ",A true hidden gem,"This is the perfect place to catch the sunset over the Swayambhunath Stupa hill. I had the Nepali Dinner Set, a delightful introduction to local cuisine. Can be made with meat or vegetarian. 

Like others said, I got to have a really nice chat with...one of the owners, Krishna. He apparently used to own a big restaurant but it was knocked down in the earthquake and he’s still working his butt off to recover from that (if I understood him correctly).More",5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 28, 2019 ",Nice terrace with very friendly people ,Really friendly people. They waved is in. We had a good conversation and they learned us the nepali languages. They can also make some good smoothies.,5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 24, 2019 ",Good food for reasonable prices. A place where locals also come,Good food for reasonable prices. A place where locals also come. Very friendly staff with nice service and great view of the city,4
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 11, 2019 ","Great food, great view and great staff",It was a nice suprice to have so great food so close to the monkey tempel. The staff was helpful and friendly. I definitely recommend to visit,5
"NIRVANA CAFE & RESTAURANT, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 25, 2019 ",wonderful place near Swayambhunath (Monkey Temple),"You have to visit necessarily this place during the trip to Swayambhunath (Monkey Temple). The food is delicious and views from restaurant are wonderful. If it possible you should talk with the owner, who maybe tell you about his life and contemporary problems in Nepal.",5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options",Reviewed 1 week ago ,"Welcoming, hospitable, delicious.","The decor was airy and fun. The food was very good especially the thali, a selection of small Nepalese dishes. Several varieties of Momo, and skewers available. Quite an extensive and varied menu. The prices were very reasonable eg Nepali dal Bhat chicken 821r., glass...of wine 715. Servings generous.

The service was attentive and pleasant. It was great to see a third of the staff with badges saying, I am deaf. So assiduous and so welcoming. Happy to chat with the manager about how the company makes all work well.  We were a party of 8, and they cheerfully did individual bills!More",5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed July 26, 2023 ",Paradise lost.,"We used to visit Nanglo long time back and always found it to be extremely happy place. 
Seems the character is missing with the current setup. Too cut and dry, where upholsterd chairs are not allowed in the open even if it's not raining. We...had to ask for paper napkins (standard issue since they do not give regular napkins), water and ketchup twice over, which otherwise should have been placed by default. All this when the restaurant was not even quarter full.
More so my sister from the US, visiting with us fell at the restroom entrance due to water there. We had hard time raising the manager, Mr Kumar, who struttted in like a peacock, without offering any solid solution.
They encourage / employ differently abled people and have some old timers still working. Also ( we're vegetarians and are always skeptical about ) the food was good. This makes it worth average rating. 
Billing Napalese Rs 5.2K for three adults. Visit 26th July23.More",3
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed November 15, 2022 ",For old time's sake,"We've been going to Sam's (earlier Nanglo) ever since the kids were small, mainly for their sizzler... and also because it is centrally located.. very close to our place. We used to refer to sizzler as shhhhhhhhh dish! We were there again last week with...family.. now including a grandchild too... and the place is looking much better too... nice ambience.. the one tree lighlighted with fairy lights... food (sizzler again) is very good... good service, (including from waiters donning ""i am deaf"" badges) clean,  and price also very reasonable! :)More",5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed June 8, 2022 ",Awesome Food and Service,"As the title suggested, the food and Service was excellent. The special factor was that they employ special abled individuals to serve.  The ambience is fantastic.  Food excellent. Sizzlers and fried tofu were just amazing",5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed March 27, 2022 ",Large Variety- Delicious Food,"Our group sat in a private room and enjoyed a dozen app and entree items; all delicious. The service was equally good. And, the price was reasonable; especially considering the restaurant’s location on a street with expensive shops.",5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed March 21, 2022 ","Good food, good location. ",Good food in a good location. Nice site overlooking Durbar Marg. Employ staff with hearing impairment which is worth knowing when ordering (and is a really good thing to do).,5
"SAM'S ONE TREE CAFE, Kathmandu - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed February 25, 2022 ",Good vibe,"Renamed? Enjoyed local vegetables set, chilled beer and grilled paneer. Was good open area, the sizzler was good too.",4
