Name,Cusine,Date,Quote,Detail Review,Rating
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 7, 2018 ",Nice cantine style Gujarati restaurant,"Excellent veg. Food, very friendly staff - restaurant is a kind of a cantine for people working in this complex, full meal for 160 INR.",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 20, 2018 ",Value for Money,We had dinner at the Gujarati Restaurant on the Kautilya Marg at Gujarath Bhavan. The food was very well prepared and served also with lot of affection. The quality of preparation was excellent and finally when the bill was received it was a surprise that...for 3 of us it was under 500 rupees. We had stayed at Samrat and this place is a stone throw away from Samrat. It was a good experience.More,4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 12, 2018 ",Simply inexpensive Gujarati thalis,"The ambience of this restaurant is delightful.  The staff are cheerful and friendly.  Went for Lunch they have two types of Vegetarian Gujarati Thalis.  I had the simply Thali and it was excellent.  Food was served hot and tasty.  Great place also to meet people....When you consider in food courts in Delhi Thali cost twice as much as well, its definitely a great bargain.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed December 13, 2017 ",Veg..Loving it.!!,Gujarati Resturant is the best option for veg. they provide best meal facility in affordable price.i really loving that place and its really appreciable....!!! FIVE STARS,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 3, 2017 ",Best veg Gujarati Break fast in Delhi,"A simple & calm place to have best Gujarati break fast in Delhi. Authentic taste & best quality preparation make it stand apart. Pocket friendly despite best location & good food.
Fafada, Jalebi, Thepala, Dhokala, Poha truely Guuju taste. Gujarati thali for dinner & lunch....Must visit place in DelhiMore",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 15, 2020 ",Pathetic,"I just visited Gujarat bhawan restaurant at 11 kautilya marg, new Delhi
It is run by Mohani caterers. 
The food was horrible. 
Tasteless. 
Cold. 
Nothing to say about Gujarati touch, expect dal was sweet to say it was Gujarati dal. I will certainly not recommend...it to anyone. 
It brings bad name to Gujarati food.More",2.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 13, 2020 ",Good One,Food was very nice and quantity was also apt. Plus the price did not disappoint as well. Enjoyed my time here.,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed September 8, 2019 ",Excellent ambience and food,"I absolutely loved the Gujarati food served at this canteen. Best part is food was hot, authentic and you have unlimited thali. Boy I just loved this deadly combination.

The place around the Gujarati restaurant is awesome due to embassies nearby, plus the restaurant also...is a/c with nice seating and it is quite well off for a canteen. They provide pure vegetarian meals in the form of unlimited thali - normal thali and a deluxe thai. 

They have  Fafda Jalebi etc too besides thali that you can get in. Dont forget to carry a govt valid id proof while vising here as you need to make an entry in the visitor register.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed June 6, 2019 ",Great Experience,The meal was great with authentic Gujarati thali. Love the atmosphere and the food. It is difficult to get such a nice meal out of the native place. Got the Gujrati experience out of Gujarat..! Love it,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 29, 2019 ",Nice Gujarati Thali!!,"Located in centre of the city.This place provides Gujarati Cusine.
This place serves Thali for lunch and dinner,though doesnot have authentic taste.
It serves the purpose!!",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 9, 2018 ",Gujarati Thali,"In Delhi, the best place where one could relish Gujarati dishes. Recently renovated it has a neat and clean dinning area. They serve pure vegetarian meals in the form of unlimited thali which includes a variety of items. Chhas, Khichdi, Kadhi, Dhokla, Fafda Jalebi is...just awesome. They have a good service.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 12, 2018 ",Wonderful ,"Very good restaurant, homely food, feeling like eating  in home, very reasonable priced, must visit for everyone",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 22, 2018 ",Standard gone down,This restaurant in chankyapuri was very good serving simple Gujarati food. They renovated the place sometime back and after that though the dinner area has become spacious the quality of food has gone down badly.The service standards has also come down it is very disappointing...to see this state.More,3.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 6, 2018 ",Basic gujarati cuisine,"We went on a Sunday evening so there was a waiting period of about 20 mins. Basically they serve unlimited thali two types, difference is one has sweet dish and one farsaan in addition to food. They serve one dal ine dry n one wet...veg kichidi dhokla roti, bajra roti etc. Prices are very reasonable . Please note this is not a fine dine place but a a little bit more than canteen . But worth one visit atleast. Dinner rs120 normal n rs 155 deluxe thaali.More",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 9, 2018 ",Thali was great and the staff were lovely. ,"What a lovely area this restaurant is in. Its great for anyone who wants to eat Gujarati food and has a very home like feel. 

Right in the diplomatic district it is nested away behind a big admin building. Very simple in its set up...and its layout but thats all you want. Its clean, Fantastic quality food and the staff super welcoming. 

The Thali has different sabji and the khadi and kitchadi was ace. As much Rotli as i wanted and the chaas and papad were just lovely. 

Would definitely come back. Felt like home away from home.More",4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 7, 2018 ",Nice cantine style Gujarati restaurant,"Excellent veg. Food, very friendly staff - restaurant is a kind of a cantine for people working in this complex, full meal for 160 INR.",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 20, 2018 ",Value for Money,We had dinner at the Gujarati Restaurant on the Kautilya Marg at Gujarath Bhavan. The food was very well prepared and served also with lot of affection. The quality of preparation was excellent and finally when the bill was received it was a surprise that...for 3 of us it was under 500 rupees. We had stayed at Samrat and this place is a stone throw away from Samrat. It was a good experience.More,4.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed March 12, 2018 ",Simply inexpensive Gujarati thalis,"The ambience of this restaurant is delightful.  The staff are cheerful and friendly.  Went for Lunch they have two types of Vegetarian Gujarati Thalis.  I had the simply Thali and it was excellent.  Food was served hot and tasty.  Great place also to meet people....When you consider in food courts in Delhi Thali cost twice as much as well, its definitely a great bargain.More",5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed December 13, 2017 ",Veg..Loving it.!!,Gujarati Resturant is the best option for veg. they provide best meal facility in affordable price.i really loving that place and its really appreciable....!!! FIVE STARS,5.00
"GUJARATI RESTURANT, New Delhi - Chanakyapuri/Lutyens' Delhi - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 3, 2017 ",Best veg Gujarati Break fast in Delhi,"A simple & calm place to have best Gujarati break fast in Delhi. Authentic taste & best quality preparation make it stand apart. Pocket friendly despite best location & good food.
Fafada, Jalebi, Thepala, Dhokala, Poha truely Guuju taste. Gujarati thali for dinner & lunch....Must visit place in DelhiMore",4.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 4 days ago ,Fabulous breakfast to start the day,"Wonderful choice of Indian and Western breakfast fare. Ranging from north indian parathas to south indian idlis as well as local Varanasi dishes as well as fresh fruit, salads, juices and yogurts for the health conscious, you will be spoilt for choice. The staff is...very courteous and helpful. Pradipto and Nibha especially.More",5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 4 days ago ,Breakfast in Ramada ,"Delicious buffet. Kind staffs especially hostess Nibha, durgesh nitish and all palate staff. Lovely ambience.",5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 5 days ago ,Mamorable exprience in palate restaurant at breakfast,"The food was delicious, stay was nice, and staff was too cooperative and friendly. I would like to thank especially Miss Nibha Mr nikhil and nitish also.",5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 5 days ago ,Great food and nice experience with Nibha,Service and food was great. Staff was too friendly and cooperative especially miss Nibha Nilam durgesh and Ajay.  That was highly recommended  for next visit.,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 1 week ago ,"Clean, quality and sevice","We had breakfast and dinner. Quality of the food is excellent. All staff were courteous and attentive. Would recommend.
Mr.Anand in particular was very nice and made us feel at home.",4.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 1 week ago ,Nice Experience in palate restaurants with the staff especially Nibha and Durgesh,The staff here makes all the difference…very kind and helpful.  The meals were outstanding and had great variety.  Cleanliness and food safety was a high priority for them and it was appreciated.  Would highly recommend!,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 1 week ago ,Binita ,A wide spread of amazing dishes for breakfast a wonderful experience of prompt service and helpful staff Mr durgesh a d anand were at their best in serving us and miss Nibha was always there to help us,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 3 weeks ago ,Outstanding Breakfast ,Outstanding spread of the breakfast. Very delicious. Nice hospitality. Local food was also there. Totally recommended,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 3 weeks ago ,Breakfast Review,Good service and variety of Indian and western cuisine. We had breakfast two days in a row and there was a nice change in the Indian spread. Black coffee is recommended,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 3 weeks ago ,Best place to stay with family,The food is awesome and the hospitality of the staff is very good.  The environment in the hotel as well as in the restaurant is very good,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 3 weeks ago ,Well worth it,"Good food to fill you up, great service and smiling staff. Also the hot stations have a good selection",5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 3 weeks ago ,Delightful experience at Ramada Varanasi ,"We have enjoyed the most lavish, tasty, healthy and tempting breakfast. The staff is very polite and helpful 
Thank you Nibha and Chef Murli for making all of us do some serious over eating. 
We will keep coming back",5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar",Reviewed 4 weeks ago ,Nice service in the palate at breakfast,Breakfast was very nice....... staff was too cooperative.   Hostess Nivha was very polite. Service was excellent by the Mr Nitish Rahul and anjum. I would like to thank especially for all palate staff who was serving me at the Breakfast and dinner,5.00
"THE PALATE AT RAMADA PLAZA BY WYNDHAM JHV VARANASI - Menu, Prices & Restaurant Reviews - Tripadvisor","Indian, Asian, International, Wine Bar","Reviewed September 7, 2023 ",Palate Experience,"The staff and services were amazing. They serve your food to your table even with buffet. We stayed for 4 days. Staff members Roma, Anjum the host greet and service with a smile on their faces at all times. Coming from USA, the service levels...were just amazing.More",5.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 31, 2023 ",A decent place to live the history.,"This is a must visit place if you are in Chail to have a look at Maharaja of Patiala (bhupindea singh’s) royal summer retreat. It is vintage , even the restaurant is the same with Indian and snacks options but tastes good. Overall it’s a...good place to enjoy sunset , have a walk , learn about history and get amazed by the huge maharani’s paintings .More",4.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 27, 2023 ",Wrong allotment of rooms,Staff is very arrogant and confused while alloting rooms. Must be trained properly to handle guests,2.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed November 3, 2022 ",Worn out,"Sadly, a fascinating legacy has been neglected to the extent that the rooms smell musty, the dining room seems unused and the general staff uninterested. The lawns are quite beautiful but there is no water in the fountains and a pathetic little outdoor cafe, exuding...a feeling of lack of funds for upkeep. May the structure be rescued by a private party!More",3.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 30, 2022 ",Typical old kinda cafe,"We had tea there which was. Good ,just like old times,cutlet and toast .
Tasty food.old architecture.staff was responsive",4.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed October 7, 2022 ","Not as majestic as it once was , run down condition","It is not as majestic as it once was, It is in a run down condition .
Visitors entry is RS 200 per person but this only gives access to the ground floor / limited rooms 
The Palace has some good walking trails to the...cottages and surrounding area , which one should exploreMore",3.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed August 17, 2022 ",Pathetic and waste of time and money,The restaurant is typical “Sarkari” place with zero hospitality. I waited for 1 hour but no one attended. Pathetic. Instead go to Janedghat and have home cooked desi ghee food at Sharma dhaba,1.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed July 29, 2022 ",Visit to Chail Palace,"We visited Chail Palace on July 24 when we stayed at ITC Tavleen in Chail. As soon as you enter the Palace a musty smell hits you. There is an air of disinterest and disrepair. Carpets are dirty, dining hall is closed. There’s a small...shop selling Himachal woollens in a corner.

What is interesting are the few pictures on the wall and the history of the palace. The building seems sturdy and the lawns are quite large and could be very beautiful if maintained properly. 

The Palace needs to be beautified. The view from the palace is beautiful. One can see Shimla though we c oh LC not as it was raining. Wish someone could restore its majesty!More",2.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed June 26, 2022 ",Good food and service!,"Great place to grab a meal post completing the Chail Palace visit... While there is no one to help with table management (especially since the restaurant gets busy pretty quickly), the staff is courteous and serve you well.

The food portions and taste is amazing...too - We ordered a mix of Indian, Continental and Chinese (since we were travelling with small kids) and all were equally well made and tasty!!! 

Not to forget it was also good Value For Money!!!More",5.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed June 20, 2022 ","Good food, ok service","The staff is very efficient and the food is good. It makes sense to go when there is no weekend rush. The only issue is that unlike most places today, this place does not have anyone to manage the queue when the restaurant is experiencing...heavy rush. They expect you to find a seat on your own as and when the tables get vacated.More",4.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed May 10, 2022 ",Excellent,Amazing place to spend time. Excellent restaurant. A day trip is also worth the visit. nothing more to add,5.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed April 10, 2022 ",Beautiful Rewind,"A lovely Heritage property and the upkeep shows. Clean and each piece of furniture so well kept. 
Loved the food at the Restaurant. The shaslik and sizzler was absolute value for money and served so well. Such a pleasure to be served by such polite...staff.More",5.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed February 27, 2021 ",Not upto the mark ,"Doesn't complement the property, small size, sometime feels like a local restaurant only, grossly ill-equipped.",2.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 27, 2021 ",Delectable cuisine,Had lunch with family today. This restaurant was stongly recommended for its himachali dishes. Very well maintained restaurant with a Royal ambience. Staff is well trained and polite. Tried their anardana chicken and  methi  naan  amongst other dishes which were outstanding. Reasonably priced this place...is a must visit if you are in chail.More,4.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 12, 2021 ",Worthless visit,This isn't a palace by any measure - it's a decorated gift shop. Such a waste of time to come here and explore.,1.00
"CHAIL PALACE RESTURANT - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options","Reviewed January 3, 2021 ",Loved the hospitality of the restaurant staff,We just popped in for some lunch and i loved how courteous the staff of the restaurant was. Food was great.,5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options",Reviewed 2 weeks ago ,Front Sea View Restaurent in Varkala,"Sea Front View Restaurent with excellent food, great service and above all Manager Rocky who takes cares of each and every guest personally,very humble polite thorough gentleman gem of Sunrise Restaurant.
Even though it was packed all the time during weekend but they took care...nicely.
I had a great time at Sunrise visited few times for my lunch and dinner.i highly recommended  Sunrise Restaurent Varkala.More",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options",Reviewed 2 weeks ago ,The place to be,"Excellent place
Great atmosphere
Staff very nice
The place to be in varkala cliff
Highly recommended",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed January 20, 2023 ",My long lasting memories in Sunrise,"That was one of my most beautiful days ever. I'm at a loss for words to describe my time in Sunrise. Extraordinary cuisine, a stay that will transport you to nature, and excellent service. Thank you very much for the lovely ""Sunrise"" I experienced.",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed January 11, 2023 ",A perfect place for your pleasure trip,"It was a great experience. The ambiance was very charming and the food was so delicious. My special gratitude to the staffs, for their perfect service and their helping mentality on making better choices. I am definitely visit Sunrise again and again. Thanks a lot.",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed January 11, 2023 ",MOST BEAUTIFUL SUN RISE AND SUN SET IN MY LIFE,"My favourite sunrise and sunset in my life with ‘Sunrise’. I can assure you that Sunrise is a perfect destination for food lovers.  I forgot about my entire diet plan and tried different types of food. It is not enough to glorify Sunrise, who gave...us a perfect sight that pleases the eye.More",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed January 10, 2023 ",My Best Days With Sunrise,"No words to explain. We enjoyed a ton. You guys made my trip utmost happiness. Great food and service. Trust me guys, you will have your best sunrise and sunset at 'Sunrise.'",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed January 9, 2023 ",Best Seafood Restaurant in Varkala,"Wow!!! That was awesome. I enjoyed it a lot. You guys made my trip so fabulous in all ways. As you have said, the food has evoked my whole senses. Thanks a lot to ‘Sunrise’.",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed December 29, 2020 ",Very Good Restaurant,"Very good atmosphere and ambience
Good Seaview and spacious inside
Indian, tibetian, chinese, continental foods are also availabe
Candle light dinner in night
Good for couples and familes.",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed November 17, 2020 ", A view point restaurant in varkala.,"Nice and delicious food was served, even price also affordable. Good place to spend with family best food and nice time to spend as well",5.00
"SUNRISE RESTURANT, Varkala Town - Restaurant Reviews, Photos & Phone Number - Tripadvisor","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reviewed November 6, 2020 ","Good vibes,nice food and great service.",One of the best restaurants in varkala. One time u go then u always going to that restaurant. That was their service and food.,5.00
